2053	13:12	13:14	13:17	13:19	13:23	13:29	13:33	13:37	13:44	13:51	13:53	13:57	14:02	14:10	14:23	14:28	14:34	14:44	14:50	14:57	15:03	15:11	15:16	15:21			
2055	13:42	13:44	13:47	13:49	13:53	13:59	14:03	14:08	14:14	14:21	14:23	14:27	14:32	14:40	14:55	15:00	15:06	15:16	15:22	15:29	15:35	15:43	15:48	15:54	16:06	16:23	
2059	14:12	14:14	14:17	14:19	14:23	14:29	14:33	14:37	14:43	14:50	14:52	14:56	15:01	15:09	15:24	15:29	15:35	15:45	15:51	15:58	16:04	16:12	16:17	16:22			
2063	14:41	14:43	14:46	14:48	14:52	14:58	15:02	15:09	15:15	15:22	15:24	15:28	15:33	15:41	15:51	15:56	16:02	16:12	16:18	16:25	16:31	16:39	16:44	16:50	17:02	17:19	
2065	15:16	15:18	15:21	15:23	15:27	15:33	15:37	15:43	15:49	15:56	15:58	16:02	16:07	16:15	16:34	16:39	16:45	16:55	17:01	17:08	17:14	17:22	17:27	17:33	17:46	18:02	
2069	16:07	16:09	16:12	16:14	16:18	16:24	16:28	16:32	16:38	16:45	16:47	16:51	16:56	17:04	17:24	17:29	17:35	17:45	17:51	17:58	18:04	18:12	18:17	18:23	18:36	18:52	
2073	16:31	16:33	16:36	16:38	16:42	16:48	16:52	16:57	17:03	17:10	17:12	17:16	17:21	17:29	17:49	17:54	18:00	18:10	18:16	18:23	18:29	18:37	18:42	18:47			
2075									17:28	17:35	17:37	17:41	17:46	17:54	18:14	18:19	18:25	18:35	18:41	18:48	18:54	19:02	19:07	19:13	19:25	19:42	
2077	17:21	17:23	17:26	17:28	17:32	17:38	17:42	17:47	17:53	18:00	18:02	18:06	18:11	18:19	18:28												
2603					17:52	17:59	18:03	18:08	18:14						18:40	18:46	18:52		19:08			19:28	19:33	19:38			
2079									18:18	18:25	18:27	18:31	18:36	18:44	18:54	18:59	19:05	19:15	19:21	19:28	19:34	19:42	19:47	19:53	20:05	20:22	
2081	18:11	18:13	18:16	18:18	18:22	18:28	18:32	18:37	18:43	18:50	18:52	18:56	19:01	19:09	19:29	19:34	19:40	19:50	19:56	20:03	20:09	20:17	20:22	20:28	20:40	20:57	
2083									19:08	19:15	19:17	19:21	19:26	19:34	19:54	19:59	20:05	20:15	20:21	20:28	20:34	20:42	20:47	20:52			
2085	19:01	19:03	19:06	19:08	19:12	19:18	19:22	19:27	19:33	19:40	19:42	19:46	19:51	19:59	20:19	20:24	20:30	20:40	20:46	20:53	20:59	21:07	21:12	21:18	21:30	21:47	
2087									19:58	20:05	20:07	20:11	20:16	20:24	20:44	20:49	20:55	21:05	21:11	21:18	21:24	21:32	21:37	21:42			
2089	19:51	19:53	19:56	19:58	20:02	20:08	20:12	20:17	20:23	20:30	20:32	20:36	20:41	20:49	21:14	21:19	21:25	21:35	21:41	21:48	21:54	22:02	22:07	22:13	22:25	22:42	
2093	20:41	20:43	20:46	20:48	20:52	20:58	21:02	21:07	21:13	21:20	21:22	21:26	21:31	21:39	22:00	22:05	22:11	22:21	22:27	22:34	22:40	22:48	22:53	22:59	23:11	23:28	
2095									21:38	21:45	21:47	21:51	21:56	22:04	22:14	22:19	22:25	22:35	22:41	22:48	22:54	23:02	23:07	23:12			
