2032			10:55	11:00	11:06	11:14	11:20	11:26	11:32	11:42	11:47	11:51	12:01	12:08	12:14	12:18	12:21	12:25								
2034	10:55	11:12	11:24	11:30	11:36	11:43	11:49	11:55	12:01	12:11	12:16	12:20	12:30	12:38	12:44	12:48	12:51	12:56	13:02	13:08	13:11	13:20	13:27	13:29	13:33	13:36
2038			11:55	12:00	12:06	12:14	12:20	12:26	12:32	12:42	12:47	12:51	13:01	13:08	13:14	13:18	13:21	13:25								
2040			12:25	12:30	12:36	12:44	12:50	12:56	13:02	13:12	13:17	13:21	13:31	13:38	13:44	13:48	13:51	13:57	14:04	14:10	14:13	14:22	14:28	14:31	14:34	14:37
2042	12:25	12:42	12:54	13:00	13:06	13:13	13:19	13:25	13:31	13:41	13:46	13:50	14:00	14:08	14:14	14:18	14:21	14:24								
2044			13:25	13:30	13:36	13:44	13:50	13:56	14:02	14:12	14:17	14:21	14:31	14:38	14:44	14:48	14:51	14:57	15:08	15:12	15:15	15:24	15:30	15:33	15:36	15:39
2046	13:41	13:58	14:10	14:16	14:22	14:29	14:35	14:41	14:47	14:57	15:02	15:06	15:16	15:23	15:29	15:33	15:36	15:41	15:47	15:53	15:56	16:05	16:12	16:14	16:18	16:21
2048			14:50	14:55	15:01	15:09	15:15	15:21	15:27	15:37	15:42	15:46	15:56	16:03	16:09	16:13	16:16	16:20								
2050	14:55	15:12	15:24	15:30	15:36	15:43	15:49	15:55	16:01	16:11	16:16	16:20	16:30	16:38	16:44	16:48	16:51	16:59	17:04	17:08	17:11	17:20	17:26	17:29	17:32	17:35
2052			15:56	16:01	16:07	16:15	16:21	16:27	16:33	16:43	16:48	16:52	17:02	17:09	17:15	17:19	17:22	17:28	17:33	17:38	17:41	17:50	17:56	17:59	18:02	18:05
2054			16:20	16:25	16:31	16:39	16:45	16:51	16:57	17:07	17:12	17:16	17:26	17:33	17:39	17:43	17:46	17:50								
2056	16:10	16:27	16:39	16:45	16:51	16:58	17:04	17:10	17:16	17:26	17:31	17:35	17:45	17:53	17:59	18:03	18:06	18:11	18:16	18:22	18:25	18:34	18:41	18:43	18:47	18:50
2058			17:05	17:10	17:16	17:24	17:30	17:36	17:42	17:52	17:57	18:01	18:11	18:18	18:24	18:28	18:31	18:35								
2060			17:25	17:30	17:36	17:44	17:50	17:56	18:02	18:12	18:17	18:21	18:31	18:38	18:44	18:48	18:51	18:55								
2062	17:15	17:32	17:44	17:50	17:56	18:03	18:09	18:15	18:21	18:31	18:36	18:40	18:50	18:58	19:04	19:08	19:11	19:16	19:22	19:28	19:31	19:40	19:47	19:49	19:53	19:56
2064			18:05	18:10	18:16	18:24	18:30	18:36	18:42	18:52	18:57	19:01	19:11	19:18	19:24	19:28	19:31	19:35								
2066			18:35	18:40	18:46	18:54	19:00	19:06	19:12	19:22	19:27	19:31	19:41	19:48	19:54	19:58	20:01	20:10	20:16	20:22	20:25	20:34	20:41	20:43	20:47	20:50
2068	18:27	18:44	18:56	19:02	19:08	19:15	19:21	19:27	19:33	19:43	19:48	19:52	20:02	20:10	20:16	20:20	20:23	20:26								
2070			19:15	19:20	19:26	19:34	19:40	19:46	19:52	20:02	20:07	20:11	20:21	20:28	20:34	20:38	20:41	20:45								
2072			19:32	19:37	19:43	19:51	19:57	20:03	20:09	20:19	20:24	20:28	20:38	20:45	20:51	20:55	20:58	21:04	21:11	21:17	21:20	21:29	21:35	21:38	21:41	21:44
2074	19:25	19:42	19:54	20:00	20:06	20:13	20:19	20:25	20:31	20:41	20:46	20:50	21:00	21:08	21:14	21:18	21:21	21:24								
2076			20:25	20:30	20:36	20:44	20:50	20:56	21:02	21:12	21:17	21:21	21:31	21:38	21:44	21:48	21:51	21:55								
2078			20:55	21:00	21:06	21:14	21:20	21:26	21:32	21:42	21:47	21:51	22:01	22:08	22:14	22:18	22:21	22:27	22:32	22:36	22:39	22:48	22:54	22:57	23:00	23:03
2080	20:55	21:12	21:24	21:30	21:36	21:43	21:49	21:55	22:01	22:11	22:16	22:20	22:30	22:38	22:44	22:48	22:51	22:56	23:02	23:06	23:09	23:18	23:25	23:27	23:31	23:34
